
Host: Maxs-Air

Timers On : Sun Jul  4 13:32:14 2021
Timers Off: Sun Jul  4 13:32:20 2021

Wall Time:        5.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     24 calls
JK: JK                              :      0.200u      0.000s      0.024w     24 calls
| DFH: compute_JK()                 :      0.200u      0.000s      0.024w     24 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     24 calls
| | DFH: compute_J                  :      0.000u      0.000s      0.002w     24 calls
| | DFH: compute_K                  :      0.183u      0.000s      0.021w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls

**************************************************************************************

Host: Maxs-MacBook-Air.local

Timers On : Tue Jul  6 02:35:16 2021
Timers Off: Tue Jul  6 02:35:21 2021

Wall Time:        4.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.133u      0.000s      0.019w     10 calls
Libint2ERI::Libint2ERI              :      0.383u      0.017s      0.067w    164 calls
DFH: initialize()                   :      0.700u      0.050s      0.128w     10 calls
DFH: AO Construction                :      0.067u      0.000s      0.008w     10 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w     10 calls
HF: Form core H                     :      0.133u      0.000s      0.018w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      8 calls
HF: Guess                           :      0.650u      0.067s      0.104w      8 calls
SAD Guess                           :      0.633u      0.067s      0.100w      6 calls
HF: Form G                          :      0.117u      0.000s      0.018w     80 calls
JK: D                               :      0.000u      0.000s      0.001w    104 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    104 calls
JK: JK                              :      0.283u      0.000s      0.039w    104 calls
DFH: compute_JK()                   :      0.283u      0.000s      0.039w    104 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    104 calls
DFH: compute_J                      :      0.017u      0.000s      0.004w    104 calls
DFH: compute_K                      :      0.200u      0.000s      0.032w    104 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    104 calls
HF: Form F                          :      0.000u      0.000s      0.000w     80 calls
HF: Form D                          :      0.000u      0.000s      0.000w     80 calls
HF: DIIS                            :      0.183u      0.017s      0.031w     74 calls
DIISManager::add_entry              :      0.000u      0.017s      0.003w     72 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.003w     72 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     72 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     72 calls
New vector                          :      0.017u      0.000s      0.001w     72 calls
HF: Form C                          :      0.033u      0.000s      0.003w     74 calls
Grad: V T Perturb                   :      3.617u      0.300s      0.588w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.600u      0.017s      0.103w      5 calls
JKGrad: Amn                         :      0.167u      0.000s      0.030w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.200u      0.000s      0.028w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.033u      0.000s      0.006w      5 calls
JKGrad: Amnx                        :      0.183u      0.017s      0.032w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      2 calls
